頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
ホ,ﾎｸｺｰｵﾘｾﾞﾒｰﾄ顆粒水和剤,23910,,殺菌剤,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,,,
ヒ,ﾋﾞｰﾄｽﾀｰ水和剤,23911,,殺菌剤,ﾌｪﾝﾌﾞｺﾅｿﾞｰﾙ,3,ﾏﾝｾﾞﾌﾞ,"UN(I*), M3(F*)",,,,,,
オ,ｵﾙﾌｨﾝﾌﾛｱﾌﾞﾙ,23919,,殺菌剤,ﾌﾙｵﾋﾟﾗﾑ,"「-」(I*), 7(F*)",,,,,,,,
ネ,ﾈｸｽﾀｰﾌﾛｱﾌﾞﾙ,23921,,殺菌剤,ｲｿﾋﾟﾗｻﾞﾑ,7,,,,,,,,
シ,ｼﾝｼﾞｪﾝﾀ ﾈｸｽﾀｰﾌﾛｱﾌﾞﾙ,23922,,殺菌剤,ｲｿﾋﾟﾗｻﾞﾑ,7,,,,,,,,
ハ,ﾊｲｼﾞｬﾝﾌﾟﾌﾛｱﾌﾞﾙ,23923,,殺菌剤,ﾋﾟｺｷｼｽﾄﾛﾋﾞﾝ,11,,,,,,,,
テ,ﾃﾞﾘｼｬｽ水和剤,23925,,殺菌剤,水酸化第二銅,M1,ﾍﾞﾝﾁｱﾊﾞﾘｶﾙﾌﾞｲｿﾌﾟﾛﾋﾟﾙ,40,,,,,,
ク,ｸﾌﾟﾛｻﾞｰﾄﾌﾛｱﾌﾞﾙ,23926,,殺菌剤,塩基性硫酸銅,M1,,,,,,,,
ク,ｸﾌﾟﾛｼｰﾙﾄﾞ,23927,,殺菌剤,塩基性硫酸銅,M1,,,,,,,,
ハ,ﾊﾟﾙｻｰﾌﾛｱﾌﾞﾙ,23933,,殺菌剤,ﾁﾌﾙｻﾞﾐﾄﾞ,7,,,,,,,,
ク,ｸﾞﾚｰﾀﾑﾌﾛｱﾌﾞﾙ,23934,,殺菌剤,ﾁﾌﾙｻﾞﾐﾄﾞ,7,,,,,,,,
ト,どさんこｽﾀｰ水和剤,23935,,殺菌剤,ﾌｪﾝﾌﾞｺﾅｿﾞｰﾙ,3,ﾏﾝｾﾞﾌﾞ,"UN(I*), M3(F*)",,,,,,
