頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
漢字,側条ﾊﾟﾀﾞﾝｵﾘｾﾞﾒｰﾄ顆粒水和剤,21270,,殺虫殺菌剤,ｶﾙﾀｯﾌﾟ,14,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
モ,ﾓｽﾋﾟﾗﾝ･ﾄｯﾌﾟｼﾞﾝMｽﾌﾟﾚｰ,21309,,殺虫殺菌剤,ｱｾﾀﾐﾌﾟﾘﾄﾞ,4A,ﾁｵﾌｧﾈｰﾄﾒﾁﾙ,1,,,,,,
フ,ﾌﾞｲｹﾞｯﾄﾊﾞﾘｱｰﾄﾞ粒剤,21357,,殺虫殺菌剤,ﾁｱｸﾛﾌﾟﾘﾄﾞ,4A,ﾁｱｼﾞﾆﾙ,P3,,,,,,
ク,ｸﾐｱｲﾌﾙｻﾎﾟｰﾄ箱粒剤,21410,,殺虫殺菌剤,ｲﾐﾀﾞｸﾛﾌﾟﾘﾄﾞ,4A,ｽﾋﾟﾉｻﾄﾞ,5,ﾁﾌﾙｻﾞﾐﾄﾞ,7,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,
フ,ﾌﾙｻﾎﾟｰﾄ箱粒剤,21411,,殺虫殺菌剤,ｲﾐﾀﾞｸﾛﾌﾟﾘﾄﾞ,4A,ｽﾋﾟﾉｻﾄﾞ,5,ﾁﾌﾙｻﾞﾐﾄﾞ,7,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,
D,Dr.ｵﾘｾﾞｱﾄﾞﾏｲﾔｰ箱粒剤,21482,,殺虫殺菌剤,ｲﾐﾀﾞｸﾛﾌﾟﾘﾄﾞ,4A,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
ヒ,ﾋﾞﾙﾀﾞｰｽﾀｰｸﾙ箱粒剤,21496,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
ホ,ﾎｸｺｰﾋﾞﾙﾀﾞｰｽﾀｰｸﾙ箱粒剤,21497,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
ヒ,ﾋﾞｰﾑﾀﾞﾝﾄﾂH粉剤DL,21624,,殺虫殺菌剤,ｸﾛﾁｱﾆｼﾞﾝ,4A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
S,SDSｽﾐﾁｵﾝﾀﾞｺﾆｰﾙ粉剤DL,21651,,殺虫殺菌剤,MEP,1B,TPN,M5,,,,,,
フ,ﾌﾞﾗｼﾝﾀﾞﾝﾄﾂﾌﾛｱﾌﾞﾙ,21702,,殺虫殺菌剤,ｸﾛﾁｱﾆｼﾞﾝ,4A,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,,,
ホ,ﾎｸｺｰﾗﾌﾞｻｲﾄﾞｽﾀｰｸﾙﾌﾛｱﾌﾞﾙ,21710,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾌｻﾗｲﾄﾞ,16.1,,,,,,
S,STﾋﾞｰﾑｴｲﾄﾄﾚﾎﾞﾝｿﾞﾙ,21745,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
S,STﾗﾌﾞﾊﾞﾘﾀﾞﾄﾚﾎﾞﾝ粉剤DL,21787,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｻﾗｲﾄﾞ,16.1,,,,
ワ,ﾜｲﾄﾞﾅｰｴｰｽ粉剤DL,21801,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾃﾌﾞﾌｪﾉｼﾞﾄﾞ,18,ﾌﾞﾌﾟﾛﾌｪｼﾞﾝ,16,ﾌｻﾗｲﾄﾞ,16.1,ﾌﾙﾄﾗﾆﾙ,7
G,GFｵﾙﾄﾗﾝC,21811,,殺虫殺菌剤,ｱｾﾌｪｰﾄ,1B,MEP,1B,ﾄﾘﾎﾘﾝ,3,,,,
ホ,ﾎｸｺｰﾗﾌﾞｻｲﾄﾞｷﾗｯﾌﾟ粉剤DL,21855,,殺虫殺菌剤,ｴﾁﾌﾟﾛｰﾙ,2B,ﾌｻﾗｲﾄﾞ,16.1,,,,,,
コ,ｺﾗﾄｯﾌﾟｽﾀｰｸﾙ1ｷﾛ粒剤,21871,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,
イ,ｲﾓﾁｴｰｽｽﾀｰｸﾙ粒剤,21886,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾒﾄﾐﾉｽﾄﾛﾋﾞﾝ,11,,,,,,
ホ,ﾎｸｺｰｲﾓﾁｴｰｽｽﾀｰｸﾙ粒剤,21888,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾒﾄﾐﾉｽﾄﾛﾋﾞﾝ,11,,,,,,
フ,ﾌﾞﾗｼﾝｷﾗｯﾌﾟ粉剤DL,21889,,殺虫殺菌剤,ｴﾁﾌﾟﾛｰﾙ,2B,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,,,
ラ,ﾗﾌﾞｻｲﾄﾞﾀﾞﾝﾄﾂﾌﾛｱﾌﾞﾙ,21974,,殺虫殺菌剤,ｸﾛﾁｱﾆｼﾞﾝ,4A,ﾌｻﾗｲﾄﾞ,16.1,,,,,,
コ,ｺﾒﾎｰﾌﾟ箱粒剤,22003,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾁｱｼﾞﾆﾙ,P3,,,,,,
ヘ,ﾍﾞﾆｶｸﾞﾘｰﾝVｽﾌﾟﾚｰ,22009,,殺虫殺菌剤,ﾌｪﾝﾌﾟﾛﾊﾟﾄﾘﾝ,3A,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
フ,ﾌﾞｲｹﾞｯﾄﾌﾟﾘﾝｽﾘﾝﾊﾞｰL粒剤,22010,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾁｱｼﾞﾆﾙ,P3,ﾌﾗﾒﾄﾋﾟﾙ,7,,,,
ヒ,ﾋﾞｰﾑｴｲﾄｽﾀｰｸﾙｿﾞﾙ,22036,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
ア,ｱﾌﾟﾗｲﾌﾟﾘﾝｽ粒剤10,22039,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾁｱｼﾞﾆﾙ,P3,,,,,,
漢字,日農ﾋﾞｰﾑｱﾌﾟﾛｰﾄﾞｽﾀｰｸﾙ粉剤5DL,22063,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾌﾞﾌﾟﾛﾌｪｼﾞﾝ,16,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,
ク,ｸﾐｱｲﾋﾞｰﾑｱﾌﾟﾛｰﾄﾞｽﾀｰｸﾙ粉剤5DL,22064,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾌﾞﾌﾟﾛﾌｪｼﾞﾝ,16,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,
イ,ｲﾓﾁｴｰｽｷﾗｯﾌﾟ粒剤,22078,,殺虫殺菌剤,ｴﾁﾌﾟﾛｰﾙ,2B,ﾒﾄﾐﾉｽﾄﾛﾋﾞﾝ,11,,,,,,
ヒ,ﾋﾞｰﾑﾓﾝｾﾚﾝｽﾀｰｸﾙ粉剤5DL,22102,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾍﾟﾝｼｸﾛﾝ,20,,,,
サ,ｻｼﾞｪｽﾄ微粒剤F,22180,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾍﾟﾝｼｸﾛﾝ,20,,,,
ノ,ﾉﾝﾌﾞﾗｽﾀﾞﾝﾄﾂﾌﾛｱﾌﾞﾙ,22257,,殺虫殺菌剤,ｸﾛﾁｱﾆｼﾞﾝ,4A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾌｪﾘﾑｿﾞﾝ,U14,,,,
