selected_crop_id,match_crop_id
331,150956
331,153734
331,155091
331,671
331,1086
331,26494
331,30721
331,40068
331,55006
341,341
341,5417
341,11970
341,1085
341,307
341,1948
341,1960
341,3361
341,4230
341,7375
341,7574
341,11490
341,11879
341,12688
341,12765
341,15284
341,16800
341,18541
341,19563
341,19820
341,22083
341,22226
341,22555
341,23659
341,24100
341,24738
341,25992
341,27462
341,30585
341,30908
341,31923
341,32530
341,33857
341,34049
341,35172
341,35643
341,39273
341,39564
341,41949
341,44391
341,44672
341,45798
341,46953
341,47803
341,50133
341,50380
341,51009
341,51977
341,53761
341,54544
341,58625
341,118638
341,121181
341,122969
341,127021
341,127200
341,128065
341,130106
341,136684
341,137882
341,139978
341,140697
341,145249
341,147462
341,149176
341,150758
341,150956
341,153734
341,155091
341,671
341,1086
341,26494
341,30721
341,40068
341,55006
351,351
351,11970
351,1085
351,314
351,1960
351,7399
351,7574
351,11490
351,11879
351,12688
351,12765
351,15284
351,16800
351,18541
351,19218
351,19563
351,22083
351,22226
351,22555
351,23659
351,24100
351,24738
351,25992
351,27462
351,28216
351,30585
351,30908
351,31923
351,32530
351,33857
351,34049
351,35172
351,35643
351,37876
351,39273
351,41949
351,45798
351,46953
351,47803
351,50133
351,50380
351,51009
351,51977
351,53761
351,58625
351,121181
351,122969
351,127021
351,128065
351,130106
351,131057
351,132566
351,136684
351,137882
351,139978
351,145249
351,147462
351,149176
351,150759
351,150956
351,153734
351,155091
351,671
351,1086
351,26494
351,30721
351,40068
351,55006
359,359
359,4545
359,5419
359,5421
359,11970
359,1085
359,307
359,1948
359,3361
359,4230
359,7375
359,7399
359,7574
359,11490
359,11879
359,12688
359,12765
359,16800
359,18541
359,19218
359,19563
359,19820
359,22226
359,22555
359,23659
359,24100
359,24738
359,25992
359,30585
359,30908
359,31923
359,32530
359,33857
359,34049
359,35172
359,35643
359,39273
359,39564
359,41949
359,44391
359,44672
359,45798
359,46953
359,47803
359,50133
359,50380
359,51009
359,53761
359,54544
359,58625
359,118638
359,121181
359,122969
359,127021
359,127200
359,128065
359,130106
359,136684
359,137882
359,139978
359,140697
359,145249
359,147462
359,149176
359,150758
359,150759
359,150956
359,153734
359,155091
359,671
359,1086
359,26494
359,30721
359,40068
359,55006
367,367
367,11970
367,1085
367,307
367,1948
367,3361
367,4230
367,7375
367,7399
367,7574
367,11490
367,11879
367,12688
367,12765
367,16800
367,18541
367,19563
367,19820
367,22083
367,22226
367,22555
367,23659
367,24100
367,24738
367,25992
367,27462
367,28216
367,30585
367,30908
367,31923
367,32530
367,33857
367,35172
367,35643
367,39273
367,39564
367,41949
367,44391
367,44672
367,45798
367,46953
367,47803
367,50133
367,50380
367,51009
367,51977
367,53761
367,54544
367,58625
367,118638
367,121181
367,122969
367,127021
367,127200
367,130106
367,131057
367,136684
367,137882
367,140697
367,145249
367,147462
367,149176
367,150758
367,150956
367,153734
367,155091
367,671
367,1086
367,26494
367,30721
367,40068
367,55006
374,374
374,7203
374,7204
374,7205
374,153553
374,153554
381,381
381,8231
387,387
387,122623
387,1781
387,5372
387,53744
387,12137
387,124040
393,393
393,5188
393,25991
393,122623
393,12762
393,35672
399,399
399,644
399,122623
399,148018
399,1780
399,7230
399,7232
399,7794
404,404
404,17620
404,158903
404,140105
404,1085
404,7574
404,11879
404,12765
404,16800
404,22226
404,23659
404,24100
404,24738
404,25992
404,30585
404,30908
404,31923
404,32530
404,33857
404,35643
404,39273
404,41949
404,45798
404,46953
404,47803
404,50380
404,51009
404,53761
404,122969
404,127021
404,130106
404,137882
404,145249
404,145423
404,150956
404,153734
404,155091
404,158392
404,26494
404,40068
404,55006
405,405
405,1085
405,7574
405,11879
405,12765
405,22226
405,23659
405,24100
405,24738
405,25992
405,30585
405,30908
405,31923
405,32530
405,33857
405,35643
405,39273
405,41949
405,45798
405,46953
405,47803
405,50380
405,51009
405,53761
405,58625
405,122969
405,127021
405,130106
405,137882
405,145249
405,150956
405,153734
405,155091
405,26494
405,40068
405,55006
406,406
406,1085
406,7574
406,11879
406,12765
406,22226
406,23659
406,24100
406,24738
406,25992
406,30585
406,30908
406,31923
406,32530
406,33857
406,35643
406,39273
406,41949
406,45798
406,46953
406,47803
406,50380
406,51009
406,53761
406,58625
406,122969
406,127021
406,130106
406,137882
406,145249
406,150956
406,153734
406,155091
406,26494
406,40068
406,55006
407,407
407,24965
407,1085
407,7574
407,11879
407,12765
407,16800
407,22226
407,23659
407,24100
407,24738
407,25992
407,30585
407,30908
407,31923
407,32530
407,33857
407,35643
407,39273
407,41949
407,45798
407,46953
407,47803
407,50380
407,51009
407,53761
407,58625
